start_point1,start_point2,rho,iterations
0.8,-1.2,0.01,2.0
-1.2,-1.0999999999999999,0.01,29.0
0.8,-1.0999999999999999,0.01,2.0
-1.2,-1.0,0.01,28.0
0.8,-1.0,0.01,2.0
-1.2,-0.8999999999999999,0.01,27.0
0.8,-0.8999999999999999,0.01,2.0
-1.2,-0.7999999999999999,0.01,26.0
0.8,-0.7999999999999999,0.01,2.0
-1.2,-0.7,0.01,25.0
0.8,-0.7,0.01,2.0
-1.2,-0.5999999999999999,0.01,1.0
0.8,-0.5999999999999999,0.01,2.0
-1.2,-0.4999999999999999,0.01,1.0
0.8,-0.4999999999999999,0.01,2.0
-1.2,-0.3999999999999999,0.01,1.0
0.8,-0.3999999999999999,0.01,2.0
-1.2,-0.29999999999999993,0.01,1.0
0.8,-0.29999999999999993,0.01,2.0
-1.2,-0.19999999999999996,0.01,1.0
0.8,-0.19999999999999996,0.01,2.0
-1.2,-0.09999999999999987,0.01,1.0
0.8,-0.09999999999999987,0.01,11.0
-1.2,2.220446049250313e-16,0.01,1.0
0.8,2.220446049250313e-16,0.01,10.0
-1.2,0.10000000000000009,0.01,1.0
0.8,0.10000000000000009,0.01,2.0
-1.2,0.20000000000000018,0.01,1.0
0.8,0.20000000000000018,0.01,2.0
-1.2,0.30000000000000004,0.01,1.0
0.8,0.30000000000000004,0.01,6.0
-1.2,0.40000000000000013,0.01,1.0
0.8,0.40000000000000013,0.01,1.0
-1.2,0.5000000000000002,0.01,1.0
0.8,0.5000000000000002,0.01,1.0
-1.2,0.6000000000000001,0.01,1.0
0.8,0.6000000000000001,0.01,7.0
-1.2,0.7000000000000002,0.01,1.0
0.8,0.7000000000000002,0.01,8.0
-1.2,0.8,0.01,1.0
0.8,-1.2,0.001,2.0
-1.2,-1.0999999999999999,0.001,30.0
0.8,-1.0999999999999999,0.001,2.0
-1.2,-1.0,0.001,29.0
0.8,-1.0,0.001,2.0
-1.2,-0.8999999999999999,0.001,28.0
0.8,-0.8999999999999999,0.001,2.0
-1.2,-0.7999999999999999,0.001,27.0
0.8,-0.7999999999999999,0.001,2.0
-1.2,-0.7,0.001,26.0
0.8,-0.7,0.001,2.0
-1.2,-0.5999999999999999,0.001,25.0
0.8,-0.5999999999999999,0.001,2.0
-1.2,-0.4999999999999999,0.001,24.0
0.8,-0.4999999999999999,0.001,2.0
-1.2,-0.3999999999999999,0.001,1.0
0.8,-0.3999999999999999,0.001,2.0
-1.2,-0.29999999999999993,0.001,1.0
0.8,-0.29999999999999993,0.001,12.0
-1.2,-0.19999999999999996,0.001,1.0
0.8,-0.19999999999999996,0.001,12.0
-1.2,-0.09999999999999987,0.001,1.0
0.8,-0.09999999999999987,0.001,12.0
-1.2,2.220446049250313e-16,0.001,1.0
0.8,2.220446049250313e-16,0.001,11.0
-1.2,0.10000000000000009,0.001,1.0
0.8,0.10000000000000009,0.001,8.0
-1.2,0.20000000000000018,0.001,1.0
0.8,0.20000000000000018,0.001,7.0
-1.2,0.30000000000000004,0.001,1.0
0.8,0.30000000000000004,0.001,7.0
-1.2,0.40000000000000013,0.001,1.0
0.8,0.40000000000000013,0.001,4.0
-1.2,0.5000000000000002,0.001,1.0
0.8,0.5000000000000002,0.001,5.0
-1.2,0.6000000000000001,0.001,1.0
0.8,0.6000000000000001,0.001,7.0
-1.2,0.7000000000000002,0.001,1.0
0.8,0.7000000000000002,0.001,9.0
-1.2,0.8,0.001,1.0
0.8,-1.2,0.0001,2.0
-1.2,-1.0999999999999999,0.0001,31.0
0.8,-1.0999999999999999,0.0001,2.0
-1.2,-1.0,0.0001,30.0
0.8,-1.0,0.0001,2.0
-1.2,-0.8999999999999999,0.0001,29.0
0.8,-0.8999999999999999,0.0001,2.0
-1.2,-0.7999999999999999,0.0001,28.0
0.8,-0.7999999999999999,0.0001,2.0
-1.2,-0.7,0.0001,27.0
0.8,-0.7,0.0001,2.0
-1.2,-0.5999999999999999,0.0001,25.0
0.8,-0.5999999999999999,0.0001,13.0
-1.2,-0.4999999999999999,0.0001,24.0
0.8,-0.4999999999999999,0.0001,13.0
-1.2,-0.3999999999999999,0.0001,23.0
0.8,-0.3999999999999999,0.0001,13.0
-1.2,-0.29999999999999993,0.0001,21.0
0.8,-0.29999999999999993,0.0001,13.0
-1.2,-0.19999999999999996,0.0001,20.0
0.8,-0.19999999999999996,0.0001,13.0
-1.2,-0.09999999999999987,0.0001,1.0
0.8,-0.09999999999999987,0.0001,12.0
-1.2,2.220446049250313e-16,0.0001,1.0
0.8,2.220446049250313e-16,0.0001,11.0
-1.2,0.10000000000000009,0.0001,1.0
0.8,0.10000000000000009,0.0001,8.0
-1.2,0.20000000000000018,0.0001,1.0
0.8,0.20000000000000018,0.0001,8.0
-1.2,0.30000000000000004,0.0001,1.0
0.8,0.30000000000000004,0.0001,8.0
-1.2,0.40000000000000013,0.0001,1.0
0.8,0.40000000000000013,0.0001,5.0
-1.2,0.5000000000000002,0.0001,1.0
0.8,0.5000000000000002,0.0001,5.0
-1.2,0.6000000000000001,0.0001,1.0
0.8,0.6000000000000001,0.0001,8.0
-1.2,0.7000000000000002,0.0001,1.0
0.8,0.7000000000000002,0.0001,10.0
-1.2,0.8,0.0001,1.0
0.8,-1.2,1e-05,2.0
-1.2,-1.0999999999999999,1e-05,31.0
0.8,-1.0999999999999999,1e-05,2.0
-1.2,-1.0,1e-05,30.0
0.8,-1.0,1e-05,2.0
-1.2,-0.8999999999999999,1e-05,29.0
0.8,-0.8999999999999999,1e-05,13.0
-1.2,-0.7999999999999999,1e-05,28.0
0.8,-0.7999999999999999,1e-05,13.0
-1.2,-0.7,1e-05,27.0
0.8,-0.7,1e-05,13.0
-1.2,-0.5999999999999999,1e-05,26.0
0.8,-0.5999999999999999,1e-05,13.0
-1.2,-0.4999999999999999,1e-05,25.0
0.8,-0.4999999999999999,1e-05,13.0
-1.2,-0.3999999999999999,1e-05,23.0
0.8,-0.3999999999999999,1e-05,13.0
-1.2,-0.29999999999999993,1e-05,22.0
0.8,-0.29999999999999993,1e-05,13.0
-1.2,-0.19999999999999996,1e-05,20.0
0.8,-0.19999999999999996,1e-05,13.0
-1.2,-0.09999999999999987,1e-05,18.0
0.8,-0.09999999999999987,1e-05,13.0
-1.2,2.220446049250313e-16,1e-05,1.0
0.8,2.220446049250313e-16,1e-05,11.0
-1.2,0.10000000000000009,1e-05,1.0
0.8,0.10000000000000009,1e-05,8.0
-1.2,0.20000000000000018,1e-05,1.0
0.8,0.20000000000000018,1e-05,8.0
-1.2,0.30000000000000004,1e-05,1.0
0.8,0.30000000000000004,1e-05,8.0
-1.2,0.40000000000000013,1e-05,1.0
0.8,0.40000000000000013,1e-05,5.0
-1.2,0.5000000000000002,1e-05,1.0
0.8,0.5000000000000002,1e-05,6.0
-1.2,0.6000000000000001,1e-05,1.0
0.8,0.6000000000000001,1e-05,8.0
-1.2,0.7000000000000002,1e-05,1.0
0.8,0.7000000000000002,1e-05,10.0
-1.2,0.8,1e-05,1.0
0.8,-1.2,1e-07,14.0
-1.2,-1.0999999999999999,1e-07,32.0
0.8,-1.0999999999999999,1e-07,14.0
-1.2,-1.0,1e-07,31.0
0.8,-1.0,1e-07,14.0
-1.2,-0.8999999999999999,1e-07,30.0
0.8,-0.8999999999999999,1e-07,14.0
-1.2,-0.7999999999999999,1e-07,29.0
0.8,-0.7999999999999999,1e-07,14.0
-1.2,-0.7,1e-07,28.0
0.8,-0.7,1e-07,14.0
-1.2,-0.5999999999999999,1e-07,27.0
0.8,-0.5999999999999999,1e-07,14.0
-1.2,-0.4999999999999999,1e-07,25.0
0.8,-0.4999999999999999,1e-07,14.0
-1.2,-0.3999999999999999,1e-07,24.0
0.8,-0.3999999999999999,1e-07,14.0
-1.2,-0.29999999999999993,1e-07,22.0
0.8,-0.29999999999999993,1e-07,14.0
-1.2,-0.19999999999999996,1e-07,21.0
0.8,-0.19999999999999996,1e-07,14.0
-1.2,-0.09999999999999987,1e-07,19.0
0.8,-0.09999999999999987,1e-07,14.0
-1.2,2.220446049250313e-16,1e-07,17.0
0.8,2.220446049250313e-16,1e-07,12.0
-1.2,0.10000000000000009,1e-07,15.0
0.8,0.10000000000000009,1e-07,9.0
-1.2,0.20000000000000018,1e-07,12.0
0.8,0.20000000000000018,1e-07,9.0
-1.2,0.30000000000000004,1e-07,1.0
0.8,0.30000000000000004,1e-07,9.0
-1.2,0.40000000000000013,1e-07,1.0
0.8,0.40000000000000013,1e-07,6.0
-1.2,0.5000000000000002,1e-07,1.0
0.8,0.5000000000000002,1e-07,7.0
-1.2,0.6000000000000001,1e-07,1.0
0.8,0.6000000000000001,1e-07,9.0
-1.2,0.7000000000000002,1e-07,11.0
0.8,0.7000000000000002,1e-07,11.0
-1.2,0.8,1e-07,13.0
0.8,-1.2,1e-10,15.0
-1.2,-1.0999999999999999,1e-10,33.0
0.8,-1.0999999999999999,1e-10,15.0
-1.2,-1.0,1e-10,32.0
0.8,-1.0,1e-10,15.0
-1.2,-0.8999999999999999,1e-10,31.0
0.8,-0.8999999999999999,1e-10,15.0
-1.2,-0.7999999999999999,1e-10,30.0
0.8,-0.7999999999999999,1e-10,15.0
-1.2,-0.7,1e-10,29.0
0.8,-0.7,1e-10,15.0
-1.2,-0.5999999999999999,1e-10,27.0
0.8,-0.5999999999999999,1e-10,15.0
-1.2,-0.4999999999999999,1e-10,26.0
0.8,-0.4999999999999999,1e-10,15.0
-1.2,-0.3999999999999999,1e-10,25.0
0.8,-0.3999999999999999,1e-10,15.0
-1.2,-0.29999999999999993,1e-10,23.0
0.8,-0.29999999999999993,1e-10,15.0
-1.2,-0.19999999999999996,1e-10,21.0
0.8,-0.19999999999999996,1e-10,15.0
-1.2,-0.09999999999999987,1e-10,20.0
0.8,-0.09999999999999987,1e-10,14.0
-1.2,2.220446049250313e-16,1e-10,18.0
0.8,2.220446049250313e-16,1e-10,13.0
-1.2,0.10000000000000009,1e-10,15.0
0.8,0.10000000000000009,1e-10,10.0
-1.2,0.20000000000000018,1e-10,13.0
0.8,0.20000000000000018,1e-10,10.0
-1.2,0.30000000000000004,1e-10,10.0
0.8,0.30000000000000004,1e-10,10.0
-1.2,0.40000000000000013,1e-10,7.0
0.8,0.40000000000000013,1e-10,7.0
-1.2,0.5000000000000002,1e-10,8.0
0.8,0.5000000000000002,1e-10,7.0
-1.2,0.6000000000000001,1e-10,10.0
0.8,0.6000000000000001,1e-10,10.0
-1.2,0.7000000000000002,1e-10,12.0
0.8,0.7000000000000002,1e-10,12.0
-1.2,0.8,1e-10,14.0
0.8,-1.2,1e-15,
-1.2,-1.0999999999999999,1e-15,33.0
0.8,-1.0999999999999999,1e-15,
-1.2,-1.0,1e-15,
0.8,-1.0,1e-15,
-1.2,-0.8999999999999999,1e-15,
0.8,-0.8999999999999999,1e-15,
-1.2,-0.7999999999999999,1e-15,
0.8,-0.7999999999999999,1e-15,
-1.2,-0.7,1e-15,
0.8,-0.7,1e-15,
-1.2,-0.5999999999999999,1e-15,
0.8,-0.5999999999999999,1e-15,
-1.2,-0.4999999999999999,1e-15,
0.8,-0.4999999999999999,1e-15,
-1.2,-0.3999999999999999,1e-15,
0.8,-0.3999999999999999,1e-15,
-1.2,-0.29999999999999993,1e-15,
0.8,-0.29999999999999993,1e-15,
-1.2,-0.19999999999999996,1e-15,
0.8,-0.19999999999999996,1e-15,
-1.2,-0.09999999999999987,1e-15,
0.8,-0.09999999999999987,1e-15,
-1.2,2.220446049250313e-16,1e-15,
0.8,2.220446049250313e-16,1e-15,
-1.2,0.10000000000000009,1e-15,
0.8,0.10000000000000009,1e-15,
-1.2,0.20000000000000018,1e-15,
0.8,0.20000000000000018,1e-15,10.0
-1.2,0.30000000000000004,1e-15,
0.8,0.30000000000000004,1e-15,
-1.2,0.40000000000000013,1e-15,
0.8,0.40000000000000013,1e-15,
-1.2,0.5000000000000002,1e-15,8.0
0.8,0.5000000000000002,1e-15,
-1.2,0.6000000000000001,1e-15,
0.8,0.6000000000000001,1e-15,
-1.2,0.7000000000000002,1e-15,
0.8,0.7000000000000002,1e-15,
-1.2,0.8,1e-15,
