mode,var_pt,rho,criterion,iterations,error,status
Usztywnione A (-1.2),0.8,1e-07,res,11,7.673175740297022e-06,0
Usztywnione A (-1.2),0.8,1e-08,inc,14,0.0,0
Usztywnione A (-1.2),0.8,1e-08,res,12,1.386935705172121e-08,0
Usztywnione A (-1.2),0.8,1e-09,inc,14,0.0,0
Usztywnione A (-1.2),0.8,1e-09,res,12,1.386935705172121e-08,0
Usztywnione B (0.8),-1.2,0.01,inc,2,0.3698371531311045,1
Usztywnione B (0.8),-1.2,0.01,res,5,0.1964131542227165,2
Usztywnione B (0.8),-1.2,0.001,inc,2,0.3698371531311045,1
Usztywnione B (0.8),-1.2,0.001,res,9,0.03989476631073269,0
Usztywnione B (0.8),-1.2,0.0001,inc,2,0.3698371531311045,1
Usztywnione B (0.8),-1.2,0.0001,res,11,0.001184424409322482,0
Usztywnione B (0.8),-1.2,1e-05,inc,2,0.3698371531311045,1
Usztywnione B (0.8),-1.2,1e-05,res,12,7.672912442746593e-06,0
Usztywnione B (0.8),-1.2,1e-06,inc,14,1.7214007996813052e-13,0
Usztywnione B (0.8),-1.2,1e-06,res,12,7.672912442746593e-06,0
Usztywnione B (0.8),-1.2,1e-07,inc,14,1.7214007996813052e-13,0
Usztywnione B (0.8),-1.2,1e-07,res,12,7.672912442746593e-06,0
Usztywnione B (0.8),-1.2,1e-08,inc,15,0.0,0
Usztywnione B (0.8),-1.2,1e-08,res,13,1.3867588299909528e-08,0
Usztywnione B (0.8),-1.2,1e-09,inc,15,0.0,0
Usztywnione B (0.8),-1.2,1e-09,res,13,1.3867588299909528e-08,0
Usztywnione B (0.8),-1.1,0.01,inc,2,0.36983430134832956,1
Usztywnione B (0.8),-1.1,0.01,res,5,0.1964113663746599,2
Usztywnione B (0.8),-1.1,0.001,inc,2,0.36983430134832956,1
Usztywnione B (0.8),-1.1,0.001,res,9,0.03989352516893391,0
Usztywnione B (0.8),-1.1,0.0001,inc,2,0.36983430134832956,1
Usztywnione B (0.8),-1.1,0.0001,res,11,0.0011842515034402035,0
Usztywnione B (0.8),-1.1,1e-05,inc,2,0.36983430134832956,1
Usztywnione B (0.8),-1.1,1e-05,res,12,7.672524761637156e-06,0
Usztywnione B (0.8),-1.1,1e-06,inc,14,1.7208456881689926e-13,0
Usztywnione B (0.8),-1.1,1e-06,res,12,7.672524761637156e-06,0
Usztywnione B (0.8),-1.1,1e-07,inc,14,1.7208456881689926e-13,0
Usztywnione B (0.8),-1.1,1e-07,res,12,7.672524761637156e-06,0
Usztywnione B (0.8),-1.1,1e-08,inc,15,5.551115123125783e-17,0
Usztywnione B (0.8),-1.1,1e-08,res,13,1.3864984993450236e-08,0
Usztywnione B (0.8),-1.1,1e-09,inc,15,5.551115123125783e-17,0
Usztywnione B (0.8),-1.1,1e-09,res,13,1.3864984993450236e-08,0
Usztywnione B (0.8),-1.0,0.01,inc,2,0.3698284946509031,1
Usztywnione B (0.8),-1.0,0.01,res,5,0.19640772598663597,2
Usztywnione B (0.8),-1.0,0.001,inc,2,0.3698284946509031,1
Usztywnione B (0.8),-1.0,0.001,res,9,0.03989099799921908,0
Usztywnione B (0.8),-1.0,0.0001,inc,2,0.3698284946509031,1
Usztywnione B (0.8),-1.0,0.0001,res,11,0.0011838994902396704,0
Usztywnione B (0.8),-1.0,1e-05,inc,2,0.3698284946509031,1
Usztywnione B (0.8),-1.0,1e-05,res,12,7.671734510661388e-06,0
Usztywnione B (0.8),-1.0,1e-06,inc,14,1.72029057665668e-13,0
Usztywnione B (0.8),-1.0,1e-06,res,12,7.671734510661388e-06,0
Usztywnione B (0.8),-1.0,1e-07,inc,14,1.72029057665668e-13,0
Usztywnione B (0.8),-1.0,1e-07,res,12,7.671734510661388e-06,0
Usztywnione B (0.8),-1.0,1e-08,inc,15,0.0,0
Usztywnione B (0.8),-1.0,1e-08,res,13,1.3859683789529953e-08,0
Usztywnione B (0.8),-1.0,1e-09,inc,15,0.0,0
Usztywnione B (0.8),-1.0,1e-09,res,13,1.3859683789529953e-08,0
Usztywnione B (0.8),-0.9,0.01,inc,2,0.3698162447399849,1
Usztywnione B (0.8),-0.9,0.01,res,5,0.19640004599870903,2
Usztywnione B (0.8),-0.9,0.001,inc,2,0.3698162447399849,1
Usztywnione B (0.8),-0.9,0.001,res,9,0.03988566662968823,0
Usztywnione B (0.8),-0.9,0.0001,inc,2,0.3698162447399849,1
Usztywnione B (0.8),-0.9,0.0001,res,11,0.0011831571034981447,0
Usztywnione B (0.8),-0.9,1e-05,inc,13,1.3848498015001098e-08,0
Usztywnione B (0.8),-0.9,1e-05,res,12,7.670063565057283e-06,0
Usztywnione B (0.8),-0.9,1e-06,inc,14,1.7180701306074297e-13,0
Usztywnione B (0.8),-0.9,1e-06,res,12,7.670063565057283e-06,0
Usztywnione B (0.8),-0.9,1e-07,inc,14,1.7180701306074297e-13,0
Usztywnione B (0.8),-0.9,1e-07,res,12,7.670063565057283e-06,0
Usztywnione B (0.8),-0.9,1e-08,inc,15,0.0,0
Usztywnione B (0.8),-0.9,1e-08,res,13,1.3848498015001098e-08,0
Usztywnione B (0.8),-0.9,1e-09,inc,15,0.0,0
Usztywnione B (0.8),-0.9,1e-09,res,13,1.3848498015001098e-08,0
Usztywnione B (0.8),-0.8,0.01,inc,2,0.36978937084471636,1
Usztywnione B (0.8),-0.8,0.01,res,5,0.19638319684826416,2
Usztywnione B (0.8),-0.8,0.001,inc,2,0.36978937084471636,1
Usztywnione B (0.8),-0.8,0.001,res,9,0.03987397061598286,0
Usztywnione B (0.8),-0.8,0.0001,inc,2,0.36978937084471636,1
Usztywnione B (0.8),-0.8,0.0001,res,11,0.0011815295293798878,0
Usztywnione B (0.8),-0.8,1e-05,inc,13,1.382394798632447e-08,0
Usztywnione B (0.8),-0.8,1e-05,res,12,7.666379728821227e-06,0
Usztywnione B (0.8),-0.8,1e-06,inc,14,1.7147394615335543e-13,0
Usztywnione B (0.8),-0.8,1e-06,res,12,7.666379728821227e-06,0
Usztywnione B (0.8),-0.8,1e-07,inc,14,1.7147394615335543e-13,0
Usztywnione B (0.8),-0.8,1e-07,res,12,7.666379728821227e-06,0
Usztywnione B (0.8),-0.8,1e-08,inc,15,0.0,0
Usztywnione B (0.8),-0.8,1e-08,res,13,1.382394798632447e-08,0
Usztywnione B (0.8),-0.8,1e-09,inc,15,0.0,0
Usztywnione B (0.8),-0.8,1e-09,res,13,1.382394798632447e-08,0
Usztywnione B (0.8),-0.7,0.01,inc,2,0.3697278008577272,1
Usztywnione B (0.8),-0.7,0.01,res,5,0.19634459027340528,2
Usztywnione B (0.8),-0.7,0.001,inc,2,0.3697278008577272,1
Usztywnione B (0.8),-0.7,0.001,res,9,0.03984717402638066,0
Usztywnione B (0.8),-0.7,0.0001,inc,2,0.3697278008577272,1
Usztywnione B (0.8),-0.7,0.0001,res,11,0.0011778062141356571,0
Usztywnione B (0.8),-0.7,1e-05,inc,13,1.3767648354701123e-08,0
Usztywnione B (0.8),-0.7,1e-05,res,12,7.657846452291395e-06,0
Usztywnione B (0.8),-0.7,1e-06,inc,14,1.705857677336553e-13,0
Usztywnione B (0.8),-0.7,1e-06,res,12,7.657846452291395e-06,0
Usztywnione B (0.8),-0.7,1e-07,inc,14,1.705857677336553e-13,0
Usztywnione B (0.8),-0.7,1e-07,res,12,7.657846452291395e-06,0
Usztywnione B (0.8),-0.7,1e-08,inc,15,0.0,0
Usztywnione B (0.8),-0.7,1e-08,res,13,1.3767648354701123e-08,0
Usztywnione B (0.8),-0.7,1e-09,inc,15,0.0,0
Usztywnione B (0.8),-0.7,1e-09,res,13,1.3767648354701123e-08,0
Usztywnione B (0.8),-0.6,0.01,inc,2,0.36957976800567266,1
Usztywnione B (0.8),-0.6,0.01,res,5,0.1962517456369431,2
Usztywnione B (0.8),-0.6,0.001,inc,2,0.36957976800567266,1
Usztywnione B (0.8),-0.6,0.001,res,9,0.039782745788274454,0
Usztywnione B (0.8),-0.6,0.0001,inc,13,1.3632001749641631e-08,0
Usztywnione B (0.8),-0.6,0.0001,res,11,0.0011688859508973692,0
Usztywnione B (0.8),-0.6,1e-05,inc,13,1.3632001749641631e-08,0
Usztywnione B (0.8),-0.6,1e-05,res,12,7.636803996513564e-06,0
Usztywnione B (0.8),-0.6,1e-06,inc,14,1.684763439868675e-13,0
Usztywnione B (0.8),-0.6,1e-06,res,12,7.636803996513564e-06,0
Usztywnione B (0.8),-0.6,1e-07,inc,14,1.684763439868675e-13,0
Usztywnione B (0.8),-0.6,1e-07,res,12,7.636803996513564e-06,0
Usztywnione B (0.8),-0.6,1e-08,inc,15,0.0,0
Usztywnione B (0.8),-0.6,1e-08,res,13,1.3632001749641631e-08,0
Usztywnione B (0.8),-0.6,1e-09,inc,15,0.0,0
Usztywnione B (0.8),-0.6,1e-09,res,13,1.3632001749641631e-08,0
Usztywnione B (0.8),-0.5,0.01,inc,2,0.3692042552020017,1
Usztywnione B (0.8),-0.5,0.01,res,5,0.19601608325525594,2
Usztywnione B (0.8),-0.5,0.001,inc,2,0.3692042552020017,1
Usztywnione B (0.8),-0.5,0.001,res,9,0.03961930455592916,0
Usztywnione B (0.8),-0.5,0.0001,inc,13,1.3286416189473016e-08,0
Usztywnione B (0.8),-0.5,0.0001,res,11,0.0011464584604155559,0
Usztywnione B (0.8),-0.5,1e-05,inc,13,1.3286416189473016e-08,0
Usztywnione B (0.8),-0.5,1e-05,res,12,7.58018717939013e-06,0
Usztywnione B (0.8),-0.5,1e-06,inc,14,1.6298074001497298e-13,0
Usztywnione B (0.8),-0.5,1e-06,res,12,7.58018717939013e-06,0
Usztywnione B (0.8),-0.5,1e-07,inc,14,1.6298074001497298e-13,0
Usztywnione B (0.8),-0.5,1e-07,res,12,7.58018717939013e-06,0
Usztywnione B (0.8),-0.5,1e-08,inc,15,5.551115123125783e-17,0
Usztywnione B (0.8),-0.5,1e-08,res,13,1.3286416189473016e-08,0
Usztywnione B (0.8),-0.5,1e-09,inc,15,5.551115123125783e-17,0
Usztywnione B (0.8),-0.5,1e-09,res,13,1.3286416189473016e-08,0
Usztywnione B (0.8),-0.4,0.01,inc,2,0.36819401826823256,1
Usztywnione B (0.8),-0.4,0.01,res,5,0.19538104891614755,2
Usztywnione B (0.8),-0.4,0.001,inc,2,0.36819401826823256,1
Usztywnione B (0.8),-0.4,0.001,res,9,0.03917955702049558,0
Usztywnione B (0.8),-0.4,0.0001,inc,13,1.2351559719459004e-08,0
Usztywnione B (0.8),-0.4,0.0001,res,11,0.001087539828631301,0
Usztywnione B (0.8),-0.4,1e-05,inc,13,1.2351559719459004e-08,0
Usztywnione B (0.8),-0.4,1e-05,res,12,7.406504013263149e-06,0
Usztywnione B (0.8),-0.4,1e-06,inc,14,1.4799272918253337e-13,0
Usztywnione B (0.8),-0.4,1e-06,res,12,7.406504013263149e-06,0
Usztywnione B (0.8),-0.4,1e-07,inc,14,1.4799272918253337e-13,0
Usztywnione B (0.8),-0.4,1e-07,res,12,7.406504013263149e-06,0
Usztywnione B (0.8),-0.4,1e-08,inc,15,0.0,0
Usztywnione B (0.8),-0.4,1e-08,res,13,1.2351559719459004e-08,0
Usztywnione B (0.8),-0.4,1e-09,inc,15,0.0,0
Usztywnione B (0.8),-0.4,1e-09,res,13,1.2351559719459004e-08,0
Usztywnione B (0.8),-0.3,0.01,inc,2,0.3653049226535872,1
Usztywnione B (0.8),-0.3,0.01,res,5,0.193556582145532,2
Usztywnione B (0.8),-0.3,0.001,inc,12,6.772948011546376e-06,0
Usztywnione B (0.8),-0.3,0.001,res,8,0.07177840380726036,2
Usztywnione B (0.8),-0.3,0.0001,inc,13,9.737900819040135e-09,0
Usztywnione B (0.8),-0.3,0.0001,res,11,0.0009302368148246809,0
Usztywnione B (0.8),-0.3,1e-05,inc,13,9.737900819040135e-09,0
Usztywnione B (0.8),-0.3,1e-05,res,11,0.0009302368148246809,0
Usztywnione B (0.8),-0.3,1e-06,inc,14,1.0669243266647754e-13,0
Usztywnione B (0.8),-0.3,1e-06,res,12,6.772948011546376e-06,0
Usztywnione B (0.8),-0.3,1e-07,inc,14,1.0669243266647754e-13,0
Usztywnione B (0.8),-0.3,1e-07,res,12,6.772948011546376e-06,0
Usztywnione B (0.8),-0.3,1e-08,inc,14,1.0669243266647754e-13,0
Usztywnione B (0.8),-0.3,1e-08,res,13,9.737900819040135e-09,0
Usztywnione B (0.8),-0.3,1e-09,inc,15,0.0,0
Usztywnione B (0.8),-0.3,1e-09,res,13,9.737900819040135e-09,0
Usztywnione B (0.8),-0.2,0.01,inc,2,0.3566146582701832,1
Usztywnione B (0.8),-0.2,0.01,res,5,0.18799291038164406,2
Usztywnione B (0.8),-0.2,0.001,inc,12,4.36225685152003e-06,0
Usztywnione B (0.8),-0.2,0.001,res,8,0.06733191052186727,2
Usztywnione B (0.8),-0.2,0.0001,inc,13,3.783578061966608e-09,0
Usztywnione B (0.8),-0.2,0.0001,res,11,0.0005507512928709657,0
Usztywnione B (0.8),-0.2,1e-05,inc,13,3.783578061966608e-09,0
Usztywnione B (0.8),-0.2,1e-05,res,11,0.0005507512928709657,0
Usztywnione B (0.8),-0.2,1e-06,inc,14,2.6700863742235015e-14,0
Usztywnione B (0.8),-0.2,1e-06,res,12,4.36225685152003e-06,0
Usztywnione B (0.8),-0.2,1e-07,inc,14,2.6700863742235015e-14,0
Usztywnione B (0.8),-0.2,1e-07,res,12,4.36225685152003e-06,0
Usztywnione B (0.8),-0.2,1e-08,inc,14,2.6700863742235015e-14,0
Usztywnione B (0.8),-0.2,1e-08,res,13,3.783578061966608e-09,0
Usztywnione B (0.8),-0.2,1e-09,inc,15,0.0,0
Usztywnione B (0.8),-0.2,1e-09,res,13,3.783578061966608e-09,0
Usztywnione B (0.8),-0.1,0.01,inc,11,4.8782409507674984e-05,0
Usztywnione B (0.8),-0.1,0.01,res,5,0.17068234346387406,2
Usztywnione B (0.8),-0.1,0.001,inc,12,2.657324262855809e-07,0
Usztywnione B (0.8),-0.1,0.001,res,8,0.05368293478492209,2
Usztywnione B (0.8),-0.1,0.0001,inc,12,2.657324262855809e-07,0
Usztywnione B (0.8),-0.1,0.0001,res,10,0.004245874382550696,0
Usztywnione B (0.8),-0.1,1e-05,inc,13,2.0914769915947318e-11,0
Usztywnione B (0.8),-0.1,1e-05,res,11,4.8782409507674984e-05,0
Usztywnione B (0.8),-0.1,1e-06,inc,13,2.0914769915947318e-11,0
Usztywnione B (0.8),-0.1,1e-06,res,11,4.8782409507674984e-05,0
Usztywnione B (0.8),-0.1,1e-07,inc,14,0.0,0
Usztywnione B (0.8),-0.1,1e-07,res,12,2.657324262855809e-07,0
Usztywnione B (0.8),-0.1,1e-08,inc,14,0.0,0
Usztywnione B (0.8),-0.1,1e-08,res,12,2.657324262855809e-07,0
Usztywnione B (0.8),-0.1,1e-09,inc,14,0.0,0
Usztywnione B (0.8),-0.1,1e-09,res,13,2.0914769915947318e-11,0
Usztywnione B (0.8),0.0,0.01,inc,10,5.379213223966062e-06,0
Usztywnione B (0.8),0.0,0.01,res,4,0.16541434323388154,2
Usztywnione B (0.8),0.0,0.001,inc,11,2.1181963294480965e-08,0
Usztywnione B (0.8),0.0,0.001,res,7,0.04847646442822512,0
Usztywnione B (0.8),0.0,0.0001,inc,11,2.1181963294480965e-08,0
Usztywnione B (0.8),0.0,0.0001,res,9,0.0028169336537492984,0
Usztywnione B (0.8),0.0,1e-05,inc,11,2.1181963294480965e-08,0
Usztywnione B (0.8),0.0,1e-05,res,10,5.379213223966062e-06,0
Usztywnione B (0.8),0.0,1e-06,inc,12,1.8424151093654473e-13,0
Usztywnione B (0.8),0.0,1e-06,res,10,5.379213223966062e-06,0
Usztywnione B (0.8),0.0,1e-07,inc,12,1.8424151093654473e-13,0
Usztywnione B (0.8),0.0,1e-07,res,10,5.379213223966062e-06,0
Usztywnione B (0.8),0.0,1e-08,inc,13,0.0,0
Usztywnione B (0.8),0.0,1e-08,res,11,2.1181963294480965e-08,0
Usztywnione B (0.8),0.0,1e-09,inc,13,0.0,0
Usztywnione B (0.8),0.0,1e-09,res,11,2.1181963294480965e-08,0
Usztywnione B (0.8),0.1,0.01,inc,2,0.12323220671040275,1
Usztywnione B (0.8),0.1,0.01,res,1,0.1299097139082575,2
Usztywnione B (0.8),0.1,0.001,inc,8,1.5982702661343495e-08,0
Usztywnione B (0.8),0.1,0.001,res,3,0.07111321514423102,2
Usztywnione B (0.8),0.1,0.0001,inc,8,1.5982702661343495e-08,0
Usztywnione B (0.8),0.1,0.0001,res,6,0.0012837841951031659,0
Usztywnione B (0.8),0.1,1e-05,inc,8,1.5982702661343495e-08,0
Usztywnione B (0.8),0.1,1e-05,res,7,8.200023554172375e-06,0
Usztywnione B (0.8),0.1,1e-06,inc,9,2.120525977034049e-13,0
Usztywnione B (0.8),0.1,1e-06,res,7,8.200023554172375e-06,0
Usztywnione B (0.8),0.1,1e-07,inc,9,2.120525977034049e-13,0
Usztywnione B (0.8),0.1,1e-07,res,7,8.200023554172375e-06,0
Usztywnione B (0.8),0.1,1e-08,inc,10,5.551115123125783e-17,0
Usztywnione B (0.8),0.1,1e-08,res,8,1.5982702661343495e-08,0
Usztywnione B (0.8),0.1,1e-09,inc,10,5.551115123125783e-17,0
Usztywnione B (0.8),0.1,1e-09,res,8,1.5982702661343495e-08,0
Usztywnione B (0.8),0.2,0.01,inc,2,0.07499129192818649,1
Usztywnione B (0.8),0.2,0.01,res,1,0.08207615794741469,2
Usztywnione B (0.8),0.2,0.001,inc,7,9.293162956947043e-07,0
Usztywnione B (0.8),0.2,0.001,res,3,0.03702595266320069,0
Usztywnione B (0.8),0.2,0.0001,inc,8,2.4361634931580056e-10,0
Usztywnione B (0.8),0.2,0.0001,res,5,0.003093350040736853,0
Usztywnione B (0.8),0.2,1e-05,inc,8,2.4361634931580056e-10,0
Usztywnione B (0.8),0.2,1e-05,res,6,0.0001608567650885906,0
Usztywnione B (0.8),0.2,1e-06,inc,8,2.4361634931580056e-10,0
Usztywnione B (0.8),0.2,1e-06,res,7,9.293162956947043e-07,0
Usztywnione B (0.8),0.2,1e-07,inc,9,3.885780586188048e-16,0
Usztywnione B (0.8),0.2,1e-07,res,7,9.293162956947043e-07,0
Usztywnione B (0.8),0.2,1e-08,inc,9,3.885780586188048e-16,0
Usztywnione B (0.8),0.2,1e-08,res,7,9.293162956947043e-07,0
Usztywnione B (0.8),0.2,1e-09,inc,9,3.885780586188048e-16,0
Usztywnione B (0.8),0.2,1e-09,res,8,2.4361634931580056e-10,0
Usztywnione B (0.8),0.3,0.01,inc,6,0.00035483895577659297,0
Usztywnione B (0.8),0.3,0.01,res,1,0.10901347019572277,2
Usztywnione B (0.8),0.3,0.001,inc,7,3.6232139436487287e-06,0
Usztywnione B (0.8),0.3,0.001,res,3,0.04566811934559817,0
Usztywnione B (0.8),0.3,0.0001,inc,8,2.1147730788761976e-09,0
Usztywnione B (0.8),0.3,0.0001,res,5,0.005030307910884879,0
Usztywnione B (0.8),0.3,1e-05,inc,8,2.1147730788761976e-09,0
Usztywnione B (0.8),0.3,1e-05,res,6,0.00035483895577659297,0
Usztywnione B (0.8),0.3,1e-06,inc,9,1.2378986724570495e-14,0
Usztywnione B (0.8),0.3,1e-06,res,7,3.6232139436487287e-06,0
Usztywnione B (0.8),0.3,1e-07,inc,9,1.2378986724570495e-14,0
Usztywnione B (0.8),0.3,1e-07,res,7,3.6232139436487287e-06,0
Usztywnione B (0.8),0.3,1e-08,inc,9,1.2378986724570495e-14,0
Usztywnione B (0.8),0.3,1e-08,res,8,2.1147730788761976e-09,0
Usztywnione B (0.8),0.3,1e-09,inc,10,0.0,0
Usztywnione B (0.8),0.3,1e-09,res,8,2.1147730788761976e-09,0
Usztywnione B (0.8),0.4,0.01,inc,1,0.028803373204920768,0
Usztywnione B (0.8),0.4,0.01,res,1,0.028803373204920768,0
Usztywnione B (0.8),0.4,0.001,inc,4,4.553252559713616e-06,0
Usztywnione B (0.8),0.4,0.001,res,1,0.028803373204920768,0
Usztywnione B (0.8),0.4,0.0001,inc,5,3.823326044649633e-09,0
Usztywnione B (0.8),0.4,0.0001,res,2,0.00449069700866872,0
Usztywnione B (0.8),0.4,1e-05,inc,5,3.823326044649633e-09,0
Usztywnione B (0.8),0.4,1e-05,res,3,0.0005068402359558188,0
Usztywnione B (0.8),0.4,1e-06,inc,6,2.8144153674247718e-14,0
Usztywnione B (0.8),0.4,1e-06,res,4,4.553252559713616e-06,0
Usztywnione B (0.8),0.4,1e-07,inc,6,2.8144153674247718e-14,0
Usztywnione B (0.8),0.4,1e-07,res,4,4.553252559713616e-06,0
Usztywnione B (0.8),0.4,1e-08,inc,6,2.8144153674247718e-14,0
Usztywnione B (0.8),0.4,1e-08,res,5,3.823326044649633e-09,0
Usztywnione B (0.8),0.4,1e-09,inc,7,0.0,0
Usztywnione B (0.8),0.4,1e-09,res,5,3.823326044649633e-09,0
Usztywnione B (0.8),0.5,0.01,inc,1,0.06717357631737764,1
Usztywnione B (0.8),0.5,0.01,res,1,0.06717357631737764,2
Usztywnione B (0.8),0.5,0.001,inc,5,5.195408880331875e-07,0
Usztywnione B (0.8),0.5,0.001,res,1,0.06717357631737764,2
Usztywnione B (0.8),0.5,0.0001,inc,5,5.195408880331875e-07,0
Usztywnione B (0.8),0.5,0.0001,res,3,0.005850963719749969,0
Usztywnione B (0.8),0.5,1e-05,inc,6,6.434469623783912e-11,0
Usztywnione B (0.8),0.5,1e-05,res,4,7.686498665848696e-05,0
Usztywnione B (0.8),0.5,1e-06,inc,6,6.434469623783912e-11,0
Usztywnione B (0.8),0.5,1e-06,res,4,7.686498665848696e-05,0
Usztywnione B (0.8),0.5,1e-07,inc,7,5.551115123125783e-17,0
Usztywnione B (0.8),0.5,1e-07,res,5,5.195408880331875e-07,0
Usztywnione B (0.8),0.5,1e-08,inc,7,5.551115123125783e-17,0
Usztywnione B (0.8),0.5,1e-08,res,5,5.195408880331875e-07,0
Usztywnione B (0.8),0.5,1e-09,inc,7,5.551115123125783e-17,0
Usztywnione B (0.8),0.5,1e-09,res,6,6.434469623783912e-11,0
Usztywnione B (0.8),0.6,0.01,inc,7,5.752479605269922e-06,0
Usztywnione B (0.8),0.6,0.01,res,1,0.1579077437002117,2
Usztywnione B (0.8),0.6,0.001,inc,7,5.752479605269922e-06,0
Usztywnione B (0.8),0.6,0.001,res,3,0.07110572528330766,2
Usztywnione B (0.8),0.6,0.0001,inc,8,6.732328361458428e-09,0
Usztywnione B (0.8),0.6,0.0001,res,6,0.0007504757200560985,0
Usztywnione B (0.8),0.6,1e-05,inc,8,6.732328361458428e-09,0
Usztywnione B (0.8),0.6,1e-05,res,6,0.0007504757200560985,0
Usztywnione B (0.8),0.6,1e-06,inc,9,6.261657858885883e-14,0
Usztywnione B (0.8),0.6,1e-06,res,7,5.752479605269922e-06,0
Usztywnione B (0.8),0.6,1e-07,inc,9,6.261657858885883e-14,0
Usztywnione B (0.8),0.6,1e-07,res,7,5.752479605269922e-06,0
Usztywnione B (0.8),0.6,1e-08,inc,9,6.261657858885883e-14,0
Usztywnione B (0.8),0.6,1e-08,res,8,6.732328361458428e-09,0
Usztywnione B (0.8),0.6,1e-09,inc,10,5.551115123125783e-17,0
Usztywnione B (0.8),0.6,1e-09,res,8,6.732328361458428e-09,0
Usztywnione B (0.8),0.7,0.01,inc,8,0.0003188969341805792,0
Usztywnione B (0.8),0.7,0.01,res,2,0.1822416290437096,2
Usztywnione B (0.8),0.7,0.001,inc,9,2.4559844909455286e-06,0
Usztywnione B (0.8),0.7,0.001,res,5,0.06339147506401455,2
Usztywnione B (0.8),0.7,0.0001,inc,10,1.2473805321988607e-09,0
Usztywnione B (0.8),0.7,0.0001,res,7,0.00788176398438617,0
Usztywnione B (0.8),0.7,1e-05,inc,10,1.2473805321988607e-09,0
Usztywnione B (0.8),0.7,1e-05,res,8,0.0003188969341805792,0
Usztywnione B (0.8),0.7,1e-06,inc,11,4.9404924595819466e-15,0
Usztywnione B (0.8),0.7,1e-06,res,9,2.4559844909455286e-06,0
Usztywnione B (0.8),0.7,1e-07,inc,11,4.9404924595819466e-15,0
Usztywnione B (0.8),0.7,1e-07,res,9,2.4559844909455286e-06,0
Usztywnione B (0.8),0.7,1e-08,inc,11,4.9404924595819466e-15,0
Usztywnione B (0.8),0.7,1e-08,res,10,1.2473805321988607e-09,0
Usztywnione B (0.8),0.7,1e-09,inc,12,0.0,0
Usztywnione B (0.8),0.7,1e-09,res,10,1.2473805321988607e-09,0
